,ID,Utterance,Speaker,Dialogue_ID,Target
76,TRAIN_0076,Don’t go!,Chandler,6,sadness
77,TRAIN_0077,I’m sorry.,Chandler,6,sadness
78,TRAIN_0078,I’m so sorry!,Chandler,6,sadness
79,TRAIN_0079,Look!,Chandler,6,surprise
80,TRAIN_0080,This guy fell asleep!,Chandler,6,anger
81,TRAIN_0081,He fell asleep too!,Chandler,6,anger
82,TRAIN_0082,Be mad at him!,Chandler,6,anger
83,TRAIN_0083,"Or, call an ambulance.",Chandler,6,anger
84,TRAIN_0084,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,7,neutral
85,TRAIN_0085,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,7,anger
86,TRAIN_0086,"Yes, and it is my dying wish to have that ring.",Phoebe,8,neutral
87,TRAIN_0087,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,8,neutral
88,TRAIN_0088,"Okay, that’s enough honey!",Chandler,8,neutral
89,TRAIN_0089,I don’t know.  Let me see the ring.,Customer,8,neutral
90,TRAIN_0090,"Great! Okay, here.",Chandler,8,joy
91,TRAIN_0091,All right.,Customer,8,neutral
92,TRAIN_0092,Thank you. Thank you. Thank you!  And,Chandler,8,joy
93,TRAIN_0093,What've you been up to?,Chandler,9,neutral
94,TRAIN_0094,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,9,neutral
95,TRAIN_0095,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,9,neutral
96,TRAIN_0096,Can you hold on a moment? I have another call.  I love her.,Chandler,9,joy
97,TRAIN_0097,I know.,Ross,9,neutral
98,TRAIN_0098,I'm back.,Chandler,9,neutral
99,TRAIN_0099,"So, are we gonna get together or what?",Jade,9,neutral
100,TRAIN_0100,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,9,neutral
101,TRAIN_0101,"Great, I'll see you then.",Jade,9,neutral
102,TRAIN_0102,Ok.  Ok. Having a phone has finally paid off.,Chandler,9,joy
103,TRAIN_0103,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,9,neutral
104,TRAIN_0104,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,9,neutral
105,TRAIN_0105,Oh my god. You are pure evil.,Ross,9,disgust
106,TRAIN_0106,"Ok, pure evil , horny and alone . I've done this",Chandler,9,anger
107,TRAIN_0107,Nobody!,Phoebe,10,anger
108,TRAIN_0108,Nobody respects the bucket!,Phoebe,10,anger
109,TRAIN_0109,You wouldn't believe what people put in here!,Phoebe,10,anger
110,TRAIN_0110,Look!,Phoebe,10,anger
111,TRAIN_0111,"Okay, does this look like a garbage can to you?",Phoebe,10,anger
112,TRAIN_0112,No.,Monica,10,neutral
113,TRAIN_0113,This is my wedding.,Ross,11,neutral
114,TRAIN_0114,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",Monica,11,anger
115,TRAIN_0115,Fine. You’ll-you’ll watch it on video when we get back.,Ross,11,neutral
116,TRAIN_0116,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,11,joy
117,TRAIN_0117,Thank you.,Phoebe,11,neutral
118,TRAIN_0118,Thank you.,Phoebe,11,neutral
119,TRAIN_0119,"All right, let’s go! Bye, Pheebs!",Ross,11,joy
120,TRAIN_0120,"Bye, Pheebs!",Joey,11,joy
121,TRAIN_0121,London baby!!,Joey,11,joy
122,TRAIN_0122,"Oh, do you need a hug? You don’t have to bring me anything!",Phoebe,11,joy
123,TRAIN_0123,Hey!,Chandler,12,neutral
124,TRAIN_0124,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Joey,12,joy
125,TRAIN_0125,"That’s great, but shouldn’t you be on the toilet right now?",Chandler,12,disgust
126,TRAIN_0126,What?!,Joey,12,surprise
127,TRAIN_0127,What’s wrong with you?,Chandler,12,disgust
128,TRAIN_0128,Nothing!,Joey,12,neutral
129,TRAIN_0129,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",Joey,12,fear
130,TRAIN_0130,"But um, I don’t think it’s anything serious.",Joey,12,neutral
131,TRAIN_0131,This sounds like a hernia. You have to—you-you go to the doctor!,Chandler,12,surprise
132,TRAIN_0132,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",Joey,12,fear
133,TRAIN_0133,That’s a hernia.,Chandler,12,disgust
134,TRAIN_0134,Why did I have to start working out again?  Damn you 15s!,Joey,12,anger
135,TRAIN_0135,I love your place! Where is this guy from?,Mona,13,joy
136,TRAIN_0136,Uh that’s an eighteenth century Indian artifact from Calcutta.,Ross,13,neutral
137,TRAIN_0137,"Oh wow! So, you’re more than just dinosaurs.",Mona,13,surprise
138,TRAIN_0138,So much more.,Ross,13,neutral
139,TRAIN_0139,"Well, well to sum up, we’re having fun, you look young.",Ross,14,neutral
140,TRAIN_0140,Okay,Mona,14,neutral
141,TRAIN_0141,But that’s not enough. So… So…here’s a key to my apartment.,Ross,14,neutral
142,TRAIN_0142,Really?!,Mona,14,surprise
143,TRAIN_0143,Really.,Ross,14,neutral
144,TRAIN_0144,You don’t think this is too fast.,Mona,14,neutral
145,TRAIN_0145,Get Out!,Ross,15,anger
146,TRAIN_0146,"Ross, can I talk to you for a minute?",Charlie,15,neutral
147,TRAIN_0147,"Yes, please!  So, what's going on?",Ross,15,neutral
148,TRAIN_0148,"Uh, well... Joey and I broke up.",Charlie,15,sadness
149,TRAIN_0149,"Oh my God, wh-what happened?",Ross,15,surprise
150,TRAIN_0150,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,15,sadness
151,TRAIN_0151,I knew that was him!,Ross,15,anger
152,TRAIN_0152,"Anyway I just, uh, I think it's for the best.",Charlie,15,sadness
153,TRAIN_0153,"Hey, you ok?",Ross,15,neutral
154,TRAIN_0154,I guess.,Charlie,15,sadness
155,TRAIN_0155,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,15,neutral
156,TRAIN_0156,I started to realize that I was having feelings for someone  else.,Charlie,15,neutral
157,TRAIN_0157,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,15,neutral
158,TRAIN_0158,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,15,neutral
159,TRAIN_0159,"Yeah, can you guys just throw him in the pool later?",Charlie,15,neutral
160,TRAIN_0160,Or we could throw you both in,Professore Clerk,15,joy
161,TRAIN_0161,"Ok, gentlemen!",Ross,15,anger
162,TRAIN_0162,Please!,Ross,15,anger
163,TRAIN_0163,Aren't we a little old for this?,Ross,15,anger
164,TRAIN_0164,"I mean, we're scientists, right?",Ross,15,neutral
165,TRAIN_0165,We're academics.,Ross,15,anger
166,TRAIN_0166,And most importantly I... you-you will have to catch us first.,Ross,15,joy
167,TRAIN_0167,"GO, GO, GO!",Ross,15,joy
168,TRAIN_0168,"Go, go, go!",Ross,16,joy
169,TRAIN_0169,"Oh yeah, now everybody wants to be under this hat!",Rachel,16,joy
170,TRAIN_0170,Oy!!,Phoebe,16,disgust
171,TRAIN_0171,What’s with all this sand?,Monica,16,surprise
172,TRAIN_0172,"Oh, yeah, Bob said there might be flood damage.",Phoebe,16,neutral
173,TRAIN_0173,"Yeah, either that, or he has a really big cat.",Ross,16,neutral
174,TRAIN_0174,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,17,anger
175,TRAIN_0175,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,17,joy
176,TRAIN_0176,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,17,neutral
177,TRAIN_0177,Rach? What are you doing?,Monica,17,neutral
178,TRAIN_0178,"Oh boy, I just can't watch. It's too scary!",Rachel,17,fear
179,TRAIN_0179,It's a diaper commercial.,Monica,17,neutral
180,TRAIN_0180,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,17,fear
181,TRAIN_0181,Pizza delivery!,Caitlin,17,joy
182,TRAIN_0182,I'll get it! I will get that!,Ross,17,joy
183,TRAIN_0183,Hi!,Caitlin,17,joy
184,TRAIN_0184,Hi!,Ross,17,joy
185,TRAIN_0185,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,18,neutral
186,TRAIN_0186,"Uhh, the ball thing.",Joey,18,neutral
187,TRAIN_0187,Yeah?,Ross,18,neutral
188,TRAIN_0188,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,18,joy
189,TRAIN_0189,"Uhh,",Ross,18,neutral
190,TRAIN_0190,Okay!,Joey,18,joy
191,TRAIN_0191,Uh-oh.,Joey,18,fear
192,TRAIN_0192,What?,Ross,18,neutral
193,TRAIN_0193,I have to pee. And Rachel's in the bathroom!,Joey,18,sadness
194,TRAIN_0194,"Man, I didn't think we were gonna make it!",Joey,18,surprise
195,TRAIN_0195,"I know!  Don't switch hands, okay?",Ross,18,fear
196,TRAIN_0196,Hey.,Joey,19,neutral
197,TRAIN_0197,Hey!,Phoebe,19,neutral
198,TRAIN_0198,How did it go with Erin?,Rachel,20,neutral
199,TRAIN_0199,"Oh, unbelievable! We had the best time!",Joey,20,joy
200,TRAIN_0200,"Yay!! Oh so, you’re not, you’re not mad at us anymore?",Phoebe,20,joy
201,TRAIN_0201,No!,Joey,20,joy
202,TRAIN_0202,No!,Joey,20,joy
203,TRAIN_0203,No!,Joey,20,joy
204,TRAIN_0204,You guys were totally right!,Joey,20,joy
205,TRAIN_0205,This is so much better than the first time we went out.,Joey,20,joy
206,TRAIN_0206,Y’know?,Joey,20,neutral
207,TRAIN_0207,"That was so awkward, we were really nervous.",Joey,20,neutral
208,TRAIN_0208,Didn’t you sleep together?,Phoebe,20,neutral
209,TRAIN_0209,"Yeah, that really calms me down.",Joey,20,neutral
210,TRAIN_0210,And!,Joey,20,joy
211,TRAIN_0211,We have so much in common!,Joey,20,joy
212,TRAIN_0212,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",Joey,20,joy
213,TRAIN_0213,"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",Rachel,20,surprise
214,TRAIN_0214,Okay.,Joey,20,neutral
215,TRAIN_0215,How does she do that?,Monica,21,surprise
216,TRAIN_0216,I cannot sleep in a public place.,Ross,21,neutral
217,TRAIN_0217,Would you look at her? She is so peaceful.,Monica,21,joy
218,TRAIN_0218,Oh! What what what! ...Hi.,Phoebe,21,surprise
219,TRAIN_0219,"It's okay, y'know, you just nodded off again.",Ross,21,neutral
220,TRAIN_0220,What's going on with you?,Monica,21,surprise
221,TRAIN_0221,I got no sleep last night!,Phoebe,21,anger
222,TRAIN_0222,Why?,Ross,21,neutral
223,TRAIN_0223,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,21,disgust
224,TRAIN_0224,"Oh, and deaf.",Phoebe,21,neutral
225,TRAIN_0225,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,21,neutral
226,TRAIN_0226,You have no idea how loud they are!,Phoebe,21,disgust
227,TRAIN_0227,"Well, if you want, you can stay with Rachel and me tonight.",Monica,21,neutral
228,TRAIN_0228,Thanks.,Phoebe,21,joy
229,TRAIN_0229,Ew! What is that? Something exploded!,Joey,22,disgust
230,TRAIN_0230,"It's just her water breaking. Calm down, will you?",Nurse,22,neutral
231,TRAIN_0231,"Water breaking, what do you mean? What's that, water breaking?",Joey,22,surprise
232,TRAIN_0232,"Breathe, breathe, breathe.",Nurse,22,neutral
233,TRAIN_0233,"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",Monica,23,surprise
234,TRAIN_0234,Okay! You don’t think I thought of that?,Chandler,23,anger
235,TRAIN_0235,How can you not know which one?,Phoebe,23,surprise
236,TRAIN_0236,I mean that’s unbelievable.,Rachel,23,joy
237,TRAIN_0237,"I mean, was it Gina?",Monica,23,neutral
238,TRAIN_0238,Which one is Gina?,Ross,23,neutral
239,TRAIN_0239,"Dark, big hair, with the airplane earrings.",Rachel,23,neutral
240,TRAIN_0240,"No, no, no, that’s Dina.",Monica,23,neutral
241,TRAIN_0241,"You see you can’t tell which one is which either, dwha!!",Chandler,23,surprise
242,TRAIN_0242,"I don’t know, you thought ‘See you Saturday’ was funny.",Rachel,24,neutral
243,TRAIN_0243,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",Rachel,24,neutral
244,TRAIN_0244,You guys would never want to go to a lecture with me.,Rachel,24,neutral
245,TRAIN_0245,Pa-haa!! I would love to go with you.,Ross,24,joy
246,TRAIN_0246,Really!?,Rachel,24,surprise
247,TRAIN_0247,"Yeah, hey I-I have clothes, I even pick them out.",Ross,24,neutral
248,TRAIN_0248,"I mean for, for all you know I could be a fashion..... monger.",Ross,24,neutral
249,TRAIN_0249,"Okay. Honey, I would love for you to go with me.  What?",Rachel,24,joy
250,TRAIN_0250,"What should I wear, now I’m all nervous.",Ross,24,fear
251,TRAIN_0251,": I know, we did it!! Hey, that was incredible, huh?!",Mr. Treeger,25,joy
252,TRAIN_0252,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",Joey,25,joy
253,TRAIN_0253,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",Mr. Treeger,25,joy
254,TRAIN_0254,"Oh well, okay, good luck.",Joey,25,joy
255,TRAIN_0255,: Yeah.,Mr. Treeger,25,neutral
256,TRAIN_0256,Unless you wanna practice the Foxtrot again? Or-or the Tango?,Joey,25,neutral
257,TRAIN_0257,": Ahh, thanks but no. You see I-I think I’m ready to dance with girls.",Mr. Treeger,25,neutral
258,TRAIN_0258,Okay.,Joey,25,neutral
259,TRAIN_0259,: Yeah.,Mr. Treeger,25,neutral
260,TRAIN_0260,Go get ‘em Treeger.,Joey,25,neutral
261,TRAIN_0261,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",Mr. Treeger,25,neutral
262,TRAIN_0262,Really?,Joey,25,surprise
263,TRAIN_0263,": Yeah, you could dance real good with her, she’s the same size as me.",Mr. Treeger,25,neutral
264,TRAIN_0264,"No, I’m good.",Joey,25,neutral
265,TRAIN_0265,"Oh God, this is so nerve wracking! How-how do you do this?",Ross,26,surprise
266,TRAIN_0266,"Well, unfortunately, I don't get many callbacks so",Joey,26,neutral
267,TRAIN_0267,Is it a good sign that they asked us to hang around after the audition?,Carol,26,surprise
268,TRAIN_0268,Who knows?,Joey,26,neutral
269,TRAIN_0269,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",The Casting Director,26,neutral
270,TRAIN_0270,Yes!! I knew it!!  Bye-bye! So long! Later!,Ross,26,joy
271,TRAIN_0271,Oh this is great! I might actually get to play Ben's dad!,Joey,26,joy
272,TRAIN_0272,Yeah!,Ross,26,joy
273,TRAIN_0273,"Actually, that can't happen.",The Casting Director,26,neutral
274,TRAIN_0274,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",The Casting Director,26,neutral
275,TRAIN_0275,So it'll be either you two  or you two.,The Casting Director,26,neutral
276,TRAIN_0276,"Man, this is gonna be kinda weird.",Joey,26,sadness
277,TRAIN_0277,"Yeah, it is.",Ross,26,neutral
278,TRAIN_0278,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",Ross,26,neutral
279,TRAIN_0279,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",Monica,27,sadness
280,TRAIN_0280,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",Chandler,27,joy
281,TRAIN_0281,Please!,Ross,28,anger
282,TRAIN_0282,Are you kidding?,Ross,28,anger
283,TRAIN_0283,"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.",Ross,28,anger
284,TRAIN_0284,"And it’s all because of you, wonderful, amazing you.",Ross,28,joy
285,TRAIN_0285,I think you’ve got concussion.,Emily,28,fear
286,TRAIN_0286,"No, no, I’m serious. Thank you.",Ross,28,joy
287,TRAIN_0287,You’re welcome.  I’m sorry. Did I hurt you?,Emily,28,fear
288,TRAIN_0288,"It’s worth the pain.  Y’know what, you know what? It’s not.",Ross,28,sadness
289,TRAIN_0289,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,Monica,29,surprise
290,TRAIN_0290,"I do! Want a hint? huh? ""I do""  ""I do"".",Chandler,29,joy
291,TRAIN_0291,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",Monica,29,neutral
292,TRAIN_0292,David is going to propose to Phoebe.,Chandler,29,joy
293,TRAIN_0293,What?  Why?,Monica,29,surprise
294,TRAIN_0294,"Chandler, we have talked about this.",Monica,29,anger
295,TRAIN_0295,You are not supposed to give people advice!,Monica,29,anger
296,TRAIN_0296,Now couldn't you just have made some sort of inappropriate joke?,Monica,29,anger
297,TRAIN_0297,I,Chandler,29,neutral
298,TRAIN_0298,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,Monica,29,anger
299,TRAIN_0299,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",Monica,29,anger
300,TRAIN_0300,"Man, that's some",Chandler,29,surprise
301,TRAIN_0301,"Oh, that's not what you want...",Ross,29,neutral
302,TRAIN_0302,"This is my father, Paul Stevens. Dad, this is Ross Geller.",Elizabeth,30,neutral
303,TRAIN_0303,It-it’s great to meet you Paul.,Ross,30,joy
304,TRAIN_0304,I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.,Paul,30,neutral
305,TRAIN_0305,"Of course, of course, Mr. Stevens.",Ross,30,neutral
306,TRAIN_0306,"So Ross, what your problem?",Paul,30,anger
307,TRAIN_0307,Eh-wh—Excuse me?,Ross,30,surprise
308,TRAIN_0308,Why can’t you get a girlfriend your own age?,Paul,30,anger
309,TRAIN_0309,That’s funny. Umm….  It’s not funny.,Ross,30,fear
310,TRAIN_0310,I,Paul,30,neutral
311,TRAIN_0311,Okay.,Ross,30,neutral
312,TRAIN_0312,"I can, I can see that.",Ross,30,neutral
313,TRAIN_0313,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",Ross,30,fear
314,TRAIN_0314,Okay.,Paul,30,neutral
315,TRAIN_0315,What?,Ross,30,neutral
316,TRAIN_0316,Okay. I’ll give you one chance to change my mind.  You got one minute.,Paul,30,anger
317,TRAIN_0317,Daddy!,Elizabeth,30,surprise
318,TRAIN_0318,"Oh well, it’s not on TV yet.",Joey,31,neutral
319,TRAIN_0319,"Well, then it’s not on the wall yet.",The Dry Cleaner,31,neutral
320,TRAIN_0320,"Okay, fine, I will bring you a tape, huh?",Joey,31,neutral
321,TRAIN_0321,"So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?",Phoebe,31,neutral
322,TRAIN_0322,Ooooohh!,Joey and Chandler,32,surprise
323,TRAIN_0323,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",Phoebe,32,neutral
324,TRAIN_0324,Was it...?,Monica,32,surprise
325,TRAIN_0325,"Oh, boy scouts could have camped under there.",Phoebe,32,neutral
326,TRAIN_0326,"""Ooo,"" what?",Rachel,32,surprise
327,TRAIN_0327,Uma Thurman.,Phoebe,32,neutral
328,TRAIN_0328,Oh!,Monica,32,surprise
329,TRAIN_0329,The actress!,Ross,32,surprise
330,TRAIN_0330,Thanks Rach.,Ross,32,neutral
331,TRAIN_0331,So what are you gonna do?,Chandler,32,surprise
332,TRAIN_0332,You have to tell her!,Ross,32,joy
333,TRAIN_0333,You have to tell her!,Ross,32,joy
334,TRAIN_0334,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",Ross,32,anger
335,TRAIN_0335,Guys?,Ross,32,anger
336,TRAIN_0336,Guys?,Ross,32,anger
337,TRAIN_0337,"Oh, yeah, you have to tell her.",Chandler,32,neutral
338,TRAIN_0338,Feminist issue. That's where I went!,Joey,32,neutral
339,TRAIN_0339,She is gonna hate me.,Phoebe,32,fear
340,TRAIN_0340,"Yeah, well...",Ross,32,neutral
341,TRAIN_0341,Will you marry me?,Chandler,33,fear
342,TRAIN_0342,It’s the big night! We wanted to wish you good luck!,Joey,33,joy
343,TRAIN_0343,"Yeah, yeah you have the ring?",Ross,33,neutral
344,TRAIN_0344,"Yeah, right here in my pocket.  Pheebs?",Chandler,33,neutral
345,TRAIN_0345,Oh! Oop!,Phoebe,33,surprise
346,TRAIN_0346,"Okay, now will you guys get out of here? I want this is to be a surprise and she’s gonna know.",Chandler,33,neutral
347,TRAIN_0347,Yeah-yeah you guys. Get out of here!,Ross,33,neutral
348,TRAIN_0348,Hi guys.,Monica,33,neutral
349,TRAIN_0349,You are beautiful.,Chandler,33,joy
350,TRAIN_0350,"Oh, thank you!   What’s going on?",Monica,33,joy
351,TRAIN_0351,We’re just really…very excited about this charity event that we have to go to.,Rachel,33,neutral
352,TRAIN_0352,"Okay umm, Ross?",Rachel,34,neutral
353,TRAIN_0353,"I'm-I'm really warm, so I'm going to be taking off my sweater.",Rachel,34,neutral
354,TRAIN_0354,"Now, I'm just letting you know that this is",Rachel,34,neutral
355,TRAIN_0355,Yep! That's hilarious!,Ross,34,joy
356,TRAIN_0356,I'm sorry. I'm done. I'm done.,Rachel,34,neutral
357,TRAIN_0357,"Y'know, last night was embarrassing for you too.",Ross,34,neutral
358,TRAIN_0358,"No, not really. I mean you've seen me naked hundreds of times.",Rachel,34,neutral
359,TRAIN_0359,Uh-huh. But it was a first for the rest of my building.,Ross,34,neutral
360,TRAIN_0360,"Okay. All right, that's true! But y'know I just don't embarrass that easily.",Rachel,34,neutral
361,TRAIN_0361,What?! You totally get embarrassed!,Ross,34,surprise
362,TRAIN_0362,"No, I don't! Ross, I think I'm just a more secure person than you are.",Rachel,34,neutral
363,TRAIN_0363,Is that so?,Ross,34,neutral
364,TRAIN_0364,Yeah.,Rachel,34,neutral
365,TRAIN_0365,Hey lady! I don't care how much you want it! Okay?! I am,Ross,34,disgust
366,TRAIN_0366,I can’t believe it!,Phoebe,35,surprise
367,TRAIN_0367,I did it!,Phoebe,35,joy
